Ref,Val,Package,PosX,PosY,Rot,Side
"C_0.1_1","C","C_0402_1005Metric",95.800000,-97.775000,0.000000,top
"C_0.1_2","C","C_0402_1005Metric",96.500000,-100.000000,90.000000,top
"C_0.1_3","C","C_0402_1005Metric",103.375000,-102.090000,0.000000,top
"C_0.1_4","C","C_0402_1005Metric",179.500000,-102.150000,0.000000,top
"C_10_5","C","C_0603_1608Metric",97.700000,-97.600000,90.000000,top
"C_10_6","C","C_0603_1608Metric",192.500000,-93.600000,180.000000,top
"C_22_Tantalum_2","C_Polarized","CP_EIA-3528-12_Kemet-T",185.700000,-96.900000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_XKB_U262-16XN-4BVC11",176.500000,-95.250000,180.000000,top
"R_2.2k_3","R_Small_US","R_0402_1005Metric",196.040000,-93.320000,90.000000,top
"R_2.2k_4","R_Small_US","R_0402_1005Metric",198.500000,-93.340000,90.000000,top
"R_5.1k_1","R_Small_US","R_0402_1005Metric",173.970000,-102.610000,-90.000000,top
"R_5.1k_2","R_Small_US","R_0402_1005Metric",172.820000,-102.610000,90.000000,top
"R_10k_5","R_Small_US","R_0402_1005Metric",207.450000,-93.330000,90.000000,top
"R_10k_6","R_Small_US","R_0402_1005Metric",209.500000,-93.800000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",166.000000,-95.000000,180.000000,top
"U2","LSM6DSV16XTR","XDCR_LSM6DSV16XTR",94.500000,-100.000000,90.000000,top
"U3","MAX17048G_T10","SON50P200X200X80-9N",102.855000,-100.000000,90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",176.500000,-101.750000,0.000000,top
