"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C_0.1_1,C_0.1_2,C_0.1_3,C_0.1_4","4","C","","","","Capacitor_SMD:C_0402_1005Metric",""
"C_10_5,C_10_6","2","C","","","","Capacitor_SMD:C_0603_1608Metric",""
"C_22_Tantalum_2","1","C_Polarized","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"OLED_1","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"R_2.2k_3,R_2.2k_4,R_5.1k_1,R_5.1k_2,R_10k_5,R_10k_6","6","R_Small_US","","","","Resistor_SMD:R_0402_1005Metric",""
"S1","1","SDS001R","","","","KiCad:SDS001R",""
"SW1","1","SW_SPDT","","","","Button_Switch_SMD:SW_SPDT_PCM12",""
"TP1_B+_1,TP1_P+_1,TP1_P-_2,TP1_RawBAT+_0","4","TestPoint","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"U1","1","NanoS3","","","","footprints:NanoS3",""
"U2","1","LSM6DSV16XTR","","","","LSM6DSV16XTR (1):XDCR_LSM6DSV16XTR",""
"U3","1","MAX17048G_T10","","","","MAX17048G_T10 (1):SON50P200X200X80-9N",""
"U4","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
